,Job_Name,Link,Machine Learning,Big Data,NLP,Visualisation,Data Mining/Analytics,Deep Learning,Mathematics,Object-oriented programming,Python,R,Java,Scala,C/C++,MATLAB,Excel,SAS,SQL/databases,NoSQL,SPSS,Stata,AWS Cloud,Google Cloud,Databricks,Azure,IBM,API,Operations research,DevOps,Git,Critical Thinking,Effective Communication,Problem Solving,Team building,Work Ethic,Project Management,Time Management,Management,Innovation,Leadership,SDLC,Decision Making,Consulting
32,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKRBIZbDCl55QfZvbE1wsuzTbV4YB9foGkWsFABWTggmH3SYFuY-VBduhB0L1Fhx4CsjNjtD438PBKG9aMAefN5h5Vy8IKpiW2Giwpkd8x3K5-nGOea-cnMO6N0dRXXjumnSln7mKlTaUb4ghn-qwERlaovGpyRJYSPg17e4vFjWdeAbk5k6Be0MEfKluUXL8LYPDkHSSolo4CzkQ0K5vOmR0sU_KRIEsDUQb740sM7jMgKt_brE9FEB-e_M9o9KaNxJF5jWIeCp6-e6N1hxIIM=&p=4&fvj=1&vjs=3,1,1,1,1,1,,,,1,,,,,,1,,1,,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,
33,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBZ5Cy4nNTE67yNFKiEm5ehVbPdKz-ZLhiYip7ime6UydltTsb2_ICMPe3bSdsBtyWe-FuvGvnI_XXYpI5ZGwCiGePxrQk0GeVGsPycPuLHDxhhLo9bC8Dyi58d9feQoHeivTpJu--icgUaNUx-bSoHL_07rIy2DOXPyLUNteRdO7zFVlchrlWm4AgfxYYDJulKW10dV4DRoyMBBopUtAb0C9Ms9QbiWkA8z5C7SKtA8FI7bb00aKqrFc9Zo5ce42HSYxHHX518130FJXWJs0DeMAki_2Em4Tew==&p=5&fvj=1&vjs=3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
34,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AXBtxsLe9m2KRj_jCBdk184ANefrLFEPSzBzUevTHxVwzdFFWiCuUFfaZuy5dwRaMj5mCL0UEU0zImT-niN5AwOtL7_oWvk0ODx5hsNu4bQngYuf22su9ZAmnXrFu6_RTciQEPhjyJuMTyRq5voyJQoLFiGOz0vYxEgL2oQm_XVq0JoSuVzvRs9DwZfUs3igVp95umzBN77UP8kq6Jz9MDUmfmf7wFNp9k-cnXoWORKUy5RmUsL-5GnQf0v6RaFOiAeBq2WbeCLmrIR9QIiXqc93LyBpdPdxEH1Cw_RMmYHs3dfOdbpWJmn3PaZ9TDk1gSU4viJRRQbYHMBz8Apzejx2pvxg8SxmVPlsYrmIuT01eoFIeoBrvHkvxiJwwOCVqdvgcvIlmV_cU497tjNx218RivYYetL2RXkb8RLwq4gyn_RXn-lTgpKdd3Ob2gfSfHj_USn2EpbJOSs_VDBudPxMsZcIhFFhk=&p=6&fvj=1&vjs=3,,,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,
35,Python Data Scientist - Research and Engineering,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BFUzwZI7hB6sL3-1CSRuneG5TadXY2WMHKQsf1P6r6k45m7TN6EVbfDXe_axt3BS7b6n5egkEfAym44vnFG7hMQfQR9CMQJY7kizhXvr3KH6LDtowaKUEt7PpbGXqDrHT7Jth6vyLAa51j_VZf5cBffg5pBda816ZUiy6m73uas4KwZqQAMlPNVNEQMU18ZEKgS5p5VUhhz5Rvn4WLfgbZzXTXsUxpyNEaOHEO-aA7J9o3P5BBKsJkaUzvucIt0IbJHxU4IJ3FVjy78CAsMWtDYx-1chCQCvi4r15lLXy9gjYnQbW_LpofoiXa2VbXkQZNn5HGnXVe9QUvDEt2w55ffUxQYrrmG8qZFkGo24vxOY0c0TCkAmAgCpKgwwADAHoGkRnYDcPB07J1Q-jj6imWH1F_AdC8oMmMfXFb3D8p9rKQpkv01L8viO7RaMHlInMaCJwBX2KjXyb9-nLG4sv06OnbckgdDsUwqg-iMF8CvQ==&p=7&fvj=1&vjs=3,1,1,1,1,1,1,1,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,1,,,
36,University Internship - Data Science,https://www.indeed.ca/rc/clk?jk=13d155249ef32922&fccid=799362a2faa3b40a&vjs=3,1,1,1,,,1,,1,1,,,,,,1,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,
37,"Analyst, Customer Analytics",https://www.indeed.ca/rc/clk?jk=caf20d8367cfe312&fccid=2e16043297423070&vjs=3,,1,,,1,,,,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,,1,1,,,,,1,,,,1
38,Junior Data Scientist,https://www.indeed.ca/rc/clk?jk=eb035b7aaaf2ec3e&fccid=14fcbdb0bd2b535f&vjs=3,,1,,1,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,,,
39,Data Scientist,https://www.indeed.ca/rc/clk?jk=fa95daf5ee04790e&fccid=003656df63cede32&vjs=3,1,1,,1,1,,1,,1,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,1,,1,,
40,Senior Data Scientist,https://www.indeed.ca/rc/clk?jk=bf24bace3b1526c6&fccid=1005cea9bf029d17&vjs=3,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,
41,"Data Scientist, Manager",https://www.indeed.ca/rc/clk?jk=653b9fb7919fc376&fccid=2dd390c3a48a7ed0&vjs=3,1,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,
